,_id,region,hospital,date,ED Trolleys,Ward Trolleys,Total Trolleys,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
0,67d99e650547f4997bbf1840,HSE Dublin & North East,Cavan General Hospital,2025-03-18 08:00:00,2,0,2,1,0,0,0
1,67d99e650547f4997bbf1846,HSE Dublin & North East,Our Lady's Hospital Navan,2025-03-18 08:00:00,3,0,3,13,3,0,0
2,67d99e650547f4997bbf1844,HSE Dublin & North East,National Orthopaedic Hospital Cappagh,2025-03-18 08:00:00,0,0,0,0,1,0,0
3,67d99e650547f4997bbf1842,HSE Dublin & North East,Louth County Hospital,2025-03-18 08:00:00,0,0,0,0,0,0,0
4,67d99e650547f4997bbf1843,HSE Dublin & North East,Mater Misericordiae University Hospital,2025-03-18 08:00:00,1,0,1,0,13,0,0
5,67d99e650547f4997bbf1841,HSE Dublin & North East,Connolly Hospital,2025-03-18 08:00:00,0,0,0,0,6,0,0
6,67d99e650547f4997bbf1847,HSE Dublin & Midlands,CHI at Tallaght,2025-03-18 08:00:00,0,0,0,0,0,0,0
7,67d99e650547f4997bbf1848,HSE Dublin & Midlands,CHI at Temple Street,2025-03-18 08:00:00,5,0,5,0,1,0,0
8,67d99e650547f4997bbf1845,HSE Dublin & North East,Our Lady of Lourdes Hospital,2025-03-18 08:00:00,14,0,14,28,10,0,0
9,67d99e650547f4997bbf184a,HSE Dublin & Midlands,MRH Portlaoise,2025-03-18 08:00:00,0,0,0,6,3,0,0
10,67d99e650547f4997bbf184d,HSE Dublin & Midlands,St. James's Hospital,2025-03-18 08:00:00,2,0,2,7,22,0,0
11,67d99e650547f4997bbf1849,HSE Dublin & Midlands,MRH Mullingar,2025-03-18 08:00:00,3,0,3,2,6,0,0
12,67d99e650547f4997bbf184f,HSE Dublin & Midlands,Tallaght University Hospital,2025-03-18 08:00:00,11,0,11,26,10,0,0
13,67d99e650547f4997bbf184c,HSE Dublin & Midlands,Naas General Hospital,2025-03-18 08:00:00,12,0,12,18,6,1,0
14,67d99e650547f4997bbf184e,HSE Dublin & Midlands,St. Luke's Radiation Oncology Network,2025-03-18 08:00:00,0,0,0,0,0,0,0
15,67d99e650547f4997bbf1850,HSE Dublin & South East,St. Columcille's Hospital,2025-03-18 08:00:00,0,0,0,0,3,0,0
16,67d99e650547f4997bbf1851,HSE Dublin & South East,St Luke's General Hospital Kilkenny,2025-03-18 08:00:00,0,0,0,0,11,0,0
17,67d99e650547f4997bbf184b,HSE Dublin & Midlands,MRH Tullamore,2025-03-18 08:00:00,0,0,0,23,7,0,0
18,67d99e650547f4997bbf1856,HSE Dublin & South East,Wexford General Hospital,2025-03-18 08:00:00,14,10,24,36,6,5,0
19,67d99e650547f4997bbf1853,HSE Dublin & South East,St. Vincent's University Hospital,2025-03-18 08:00:00,14,0,14,40,19,2,1
20,67d99e650547f4997bbf1855,HSE Dublin & South East,UH Waterford,2025-03-18 08:00:00,0,0,0,2,26,0,0
21,67d99e650547f4997bbf1858,HSE South West,Mallow General Hospital,2025-03-18 08:00:00,0,0,0,0,8,0,0
22,67d99e650547f4997bbf1852,HSE Dublin & South East,St. Michael's Hospital,2025-03-18 08:00:00,0,0,0,0,3,0,0
23,67d99e650547f4997bbf185a,HSE South West,South Infirmary Victoria University Hospital,2025-03-18 08:00:00,0,0,0,0,0,0,0
24,67d99e650547f4997bbf1859,HSE South West,Mercy University Hospital,2025-03-18 08:00:00,6,1,7,16,17,1,0
25,67d99e650547f4997bbf185b,HSE South West,UH Kerry,2025-03-18 08:00:00,12,8,20,10,18,1,1
26,67d99e650547f4997bbf1854,HSE Dublin & South East,Tipperary University Hospital,2025-03-18 08:00:00,6,0,6,12,17,0,0
27,67d99e650547f4997bbf1857,HSE South West,Cork University Hospital,2025-03-18 08:00:00,16,4,20,20,14,1,0
28,67d99e650547f4997bbf185c,HSE Mid West,Nenagh Hospital,2025-03-18 08:00:00,0,0,0,0,3,0,0
29,67d99e650547f4997bbf1862,HSE West & North West,Roscommon University Hospital,2025-03-18 08:00:00,0,0,0,0,9,0,0
30,67d99e650547f4997bbf1861,HSE West & North West,Portiuncula University Hospital,2025-03-18 08:00:00,0,0,0,0,4,0,0
31,67d99e650547f4997bbf1860,HSE West & North West,Mayo University Hospital,2025-03-18 08:00:00,4,10,14,14,10,2,0
32,67d99e650547f4997bbf185d,HSE Mid West,St. John's Hospital Limerick,2025-03-18 08:00:00,0,0,0,0,8,0,0
33,67d99e650547f4997bbf185e,HSE Mid West,UH Limerick,2025-03-18 08:00:00,3,36,39,8,5,23,0
34,67d99e650547f4997bbf1863,HSE West & North West,Sligo University Hospital,2025-03-18 08:00:00,2,1,3,13,29,0,0
35,67d99e650547f4997bbf185f,HSE West & North West,Letterkenny University Hospital,2025-03-18 08:00:00,12,4,16,16,26,0,0
36,67d99e650547f4997bbf1864,HSE Dublin & North East,Cavan General Hospital,2025-03-17 08:00:00,0,0,0,5,0,0,0
37,67d99e650547f4997bbf1868,HSE Dublin & North East,National Orthopaedic Hospital Cappagh,2025-03-17 08:00:00,0,0,0,0,1,0,0
38,67d99e650547f4997bbf1867,HSE Dublin & North East,Mater Misericordiae University Hospital,2025-03-17 08:00:00,0,0,0,0,13,0,0
39,67d99e650547f4997bbf1866,HSE Dublin & North East,Louth County Hospital,2025-03-17 08:00:00,0,0,0,0,0,0,0
40,67d99e650547f4997bbf1865,HSE Dublin & North East,Connolly Hospital,2025-03-17 08:00:00,0,0,0,0,6,0,0
41,67d99e650547f4997bbf186b,HSE Dublin & Midlands,CHI at Tallaght,2025-03-17 08:00:00,0,0,0,0,0,0,0
42,67d99e650547f4997bbf186c,HSE Dublin & Midlands,CHI at Temple Street,2025-03-17 08:00:00,2,0,2,0,1,0,0
43,67d99e650547f4997bbf1869,HSE Dublin & North East,Our Lady of Lourdes Hospital,2025-03-17 08:00:00,8,0,8,26,10,0,0
44,67d99e650547f4997bbf186a,HSE Dublin & North East,Our Lady's Hospital Navan,2025-03-17 08:00:00,0,0,0,10,3,0,0
45,67d99e650547f4997bbf186d,HSE Dublin & Midlands,MRH Mullingar,2025-03-17 08:00:00,0,0,0,13,6,0,0
46,67d99e650547f4997bbf186e,HSE Dublin & Midlands,MRH Portlaoise,2025-03-17 08:00:00,8,0,8,0,3,0,0
47,67d99e650547f4997bbf1870,HSE Dublin & Midlands,Naas General Hospital,2025-03-17 08:00:00,9,0,9,14,6,1,0
48,67d99e650547f4997bbf186f,HSE Dublin & Midlands,MRH Tullamore,2025-03-17 08:00:00,0,0,0,22,7,0,0
49,67d99e650547f4997bbf1871,HSE Dublin & Midlands,St. James's Hospital,2025-03-17 08:00:00,2,0,2,4,22,0,0
50,67d99e650547f4997bbf1875,HSE Dublin & South East,St Luke's General Hospital Kilkenny,2025-03-17 08:00:00,0,0,0,0,11,0,0
51,67d99e650547f4997bbf1874,HSE Dublin & South East,St. Columcille's Hospital,2025-03-17 08:00:00,0,0,0,0,3,0,0
52,67d99e650547f4997bbf1872,HSE Dublin & Midlands,St. Luke's Radiation Oncology Network,2025-03-17 08:00:00,0,0,0,0,0,0,0
53,67d99e650547f4997bbf1873,HSE Dublin & Midlands,Tallaght University Hospital,2025-03-17 08:00:00,4,0,4,20,10,0,0
54,67d99e650547f4997bbf1877,HSE Dublin & South East,St. Vincent's University Hospital,2025-03-17 08:00:00,9,0,9,40,19,0,0
55,67d99e650547f4997bbf1876,HSE Dublin & South East,St. Michael's Hospital,2025-03-17 08:00:00,0,0,0,0,3,0,0
56,67d99e650547f4997bbf187b,HSE South West,Cork University Hospital,2025-03-17 08:00:00,5,2,7,4,15,0,0
57,67d99e650547f4997bbf187a,HSE Dublin & South East,Wexford General Hospital,2025-03-17 08:00:00,3,3,6,33,6,1,0
58,67d99e650547f4997bbf1879,HSE Dublin & South East,UH Waterford,2025-03-17 08:00:00,0,0,0,0,26,0,0
59,67d99e650547f4997bbf187e,HSE South West,South Infirmary Victoria University Hospital,2025-03-17 08:00:00,0,0,0,0,0,0,0
60,67d99e650547f4997bbf187f,HSE South West,UH Kerry,2025-03-17 08:00:00,2,0,2,10,18,0,0
61,67d99e650547f4997bbf187c,HSE South West,Mallow General Hospital,2025-03-17 08:00:00,0,0,0,0,8,0,0
62,67d99e650547f4997bbf1878,HSE Dublin & South East,Tipperary University Hospital,2025-03-17 08:00:00,4,0,4,11,17,1,0
63,67d99e650547f4997bbf1880,HSE Mid West,Nenagh Hospital,2025-03-17 08:00:00,0,0,0,0,3,0,0
64,67d99e650547f4997bbf1881,HSE Mid West,St. John's Hospital Limerick,2025-03-17 08:00:00,0,0,0,0,8,0,0
65,67d99e650547f4997bbf187d,HSE South West,Mercy University Hospital,2025-03-17 08:00:00,6,1,7,16,17,0,0
66,67d99e650547f4997bbf1883,HSE West & North West,Letterkenny University Hospital,2025-03-17 08:00:00,7,0,7,1,26,0,0
67,67d99e650547f4997bbf1886,HSE West & North West,Roscommon University Hospital,2025-03-17 08:00:00,0,0,0,0,9,0,0
68,67d99e650547f4997bbf1882,HSE Mid West,UH Limerick,2025-03-17 08:00:00,1,34,35,31,5,14,0
69,67d99e650547f4997bbf1884,HSE West & North West,Mayo University Hospital,2025-03-17 08:00:00,1,3,4,18,10,1,0
70,67d99e660547f4997bbf1888,HSE Dublin & North East,Cavan General Hospital,2025-03-16 08:00:00,0,0,0,6,0,0,0
71,67d99e650547f4997bbf1885,HSE West & North West,Portiuncula University Hospital,2025-03-17 08:00:00,2,0,2,0,4,0,0
72,67d99e660547f4997bbf1889,HSE Dublin & North East,Connolly Hospital,2025-03-16 08:00:00,0,0,0,0,6,0,0
73,67d99e660547f4997bbf188a,HSE Dublin & North East,Louth County Hospital,2025-03-16 08:00:00,0,0,0,0,0,0,0
74,67d99e650547f4997bbf1887,HSE West & North West,Sligo University Hospital,2025-03-17 08:00:00,1,0,1,10,29,0,0
75,67d99e660547f4997bbf188c,HSE Dublin & North East,National Orthopaedic Hospital Cappagh,2025-03-16 08:00:00,0,0,0,0,1,0,0
76,67d99e660547f4997bbf188b,HSE Dublin & North East,Mater Misericordiae University Hospital,2025-03-16 08:00:00,0,0,0,0,13,0,0
77,67d99e660547f4997bbf188f,HSE Dublin & Midlands,CHI at Tallaght,2025-03-16 08:00:00,1,0,1,0,0,0,0
78,67d99e660547f4997bbf1892,HSE Dublin & Midlands,MRH Portlaoise,2025-03-16 08:00:00,0,0,0,0,3,0,0
79,67d99e660547f4997bbf1891,HSE Dublin & Midlands,MRH Mullingar,2025-03-16 08:00:00,0,0,0,13,6,0,0
80,67d99e660547f4997bbf188d,HSE Dublin & North East,Our Lady of Lourdes Hospital,2025-03-16 08:00:00,4,0,4,24,10,0,0
81,67d99e660547f4997bbf1890,HSE Dublin & Midlands,CHI at Temple Street,2025-03-16 08:00:00,0,0,0,0,1,0,0
